adm_area;district;location;number_of_access_points
Северный административный округ;район Беговой;город Москва, Ленинградский проспект, дом 4, строение 3;2
Центральный административный округ;Тверской район;город Москва, Новослободская улица, дом 36/1, строение 1;2
Центральный административный округ;район Якиманка;город Москва, Ленинский проспект, дом 10, корпус 2;2
Центральный административный округ;Тверской район;город Москва, Новослободская улица, дом 46;2
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 12;2
Центральный административный округ;Тверской район;город Москва, Новослободская улица, дом 49/2;2
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 15А;2
Центральный административный округ;Тверской район;город Москва, Новослободская улица, дом 5, строение 1;3
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 16;2
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 20;2
Центральный административный округ;Тверской район;город Москва, Новослободская улица, дом 54/56;2
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 26;2
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 29;2
Центральный административный округ;район Якиманка;город Москва, Ленинский проспект, дом 2А;2
Центральный административный округ;район Якиманка;город Москва, Ленинский проспект, дом 3;4
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 30;1
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 31, корпус 1, строение 1;2
Юго-Западный административный округ;Гагаринский район;город Москва, Ленинский проспект, дом 34/1;4
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 37;3
Южный административный округ;Донской район;город Москва, Ленинский проспект, дом 37А;3
Центральный административный округ;район Арбат;город Москва, Ленинский проспект, дом 4, строение 1;1
Центральный административный округ;Пресненский район;город Москва, Ленинский проспект, дом 6, строение 3;1
Центральный административный округ;район Якиманка;город Москва, Ленинский проспект, дом 7;3
Центральный административный округ;район Якиманка;город Москва, Ленинский проспект, дом 8, корпус 10;2
Центральный административный округ;Тверской район;город Москва, Леонтьевский переулок, дом 23;3
Южный административный округ;Даниловский район;город Москва, Люсиновская улица, дом 62;1
Центральный административный округ;Пресненский район;город Москва, Леонтьевский переулок, дом 6, строение 1;2
Южный административный округ;Даниловский район;город Москва, Люсиновская улица, дом 64;2
Центральный административный округ;Тверской район;город Москва, Лесная улица, дом 45;2
Южный административный округ;Даниловский район;город Москва, Люсиновская улица, дом 66;1
Центральный административный округ;район Хамовники;город Москва, Лесная улица, дом 61, строение 1;2
Южный административный округ;Даниловский район;город Москва, Люсиновская улица, дом 68;2
Центральный административный округ;Тверской район;город Москва, Лесная улица, дом 63, строение 1;2
Южный административный округ;Даниловский район;город Москва, Люсиновская улица, дом 72;4
Центральный административный округ;Тверской район;город Москва, Лесная улица, дом 63/43, строение 2;1
Центральный административный округ;Тверской район;город Москва, Лесная улица, дом 8А;2
Центральный административный округ;Басманный район;город Москва, Лялин переулок, дом 10/14, строение 1;3
Центральный административный округ;Тверской район;город Москва, Лихов переулок, дом 5;2
Центральный административный округ;Басманный район;город Москва, Лялин переулок, дом 24-26, строение 2;2
Центральный административный округ;Мещанский район;город Москва, улица Большая Лубянка, дом 12/1;2
Центральный административный округ;Басманный район;город Москва, улица Макаренко, дом 1/19;2
Центральный административный округ;Красносельский район;город Москва, улица Большая Лубянка, дом 24/15, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Макаренко, дом 2/21, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Сретенский бульвар, дом 2, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Макаренко, дом 8;2
Центральный административный округ;Тверской район;город Москва, Лубянская площадь, владение 1, сооружение 1;5
Центральный административный округ;Тверской район;город Москва, Мамоновский переулок, дом 8, строение 3;2
Центральный административный округ;Тверской район;город Москва, Лубянский проезд, дом 15, строение 2;2
Центральный административный округ;Тверской район;город Москва, Манежная площадь, дом 1;8
Центральный административный округ;Тверской район;город Москва, Манежная площадь, дом 1А;3
Центральный административный округ;Басманный район;город Москва, Лубянский проезд, дом 17;3
Центральный административный округ;Тверской район;город Москва, Манежная улица, дом 2-10, сооружение 1;2
Центральный административный округ;Басманный район;город Москва, Лубянский проезд, владение 3/6, строение 10;2
Центральный административный округ;Тверской район;город Москва, Манежная улица, дом 7, строение 1;5
Центральный административный округ;район Хамовники;город Москва, Лужнецкий проезд, дом 1А;3
Центральный административный округ;Тверской район;город Москва, Манежная улица, дом 9, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Луков переулок, дом 4;2
Центральный административный округ;район Хамовники;город Москва, Мансуровский переулок, дом 13;2
Центральный административный округ;район Замоскворечье;город Москва, Люсиновская улица, дом 2, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Мансуровский переулок, дом 5;2
Центральный административный округ;район Замоскворечье;город Москва, Люсиновская улица, дом 31, строение 6;1
Центральный административный округ;Пресненский район;город Москва, Мантулинская улица, дом 2;2
Центральный административный округ;район Замоскворечье;город Москва, Люсиновская улица, дом 39, строение 5;2
Центральный административный округ;Таганский район;город Москва, Марксистская улица, дом 22, строение 1;3
Центральный административный округ;Таганский район;город Москва, Марксистская улица, дом 2, строение 2;2
Центральный административный округ;район Замоскворечье;город Москва, Люсиновская улица, дом 4;2
Центральный административный округ;район Якиманка;город Москва, Мароновский переулок, дом 1/9;2
Южный административный округ;Даниловский район;город Москва, Люсиновская улица, дом 41, строение 1;1
Центральный административный округ;Басманный район;город Москва, улица Маросейка, дом 14/2, строение 3;2
Центральный административный округ;Басманный район;город Москва, улица Маросейка, дом 15;2
Центральный административный округ;Басманный район;город Москва, улица Маросейка, дом 3/13, строение 5;2
Центральный административный округ;Басманный район;город Москва, улица Маросейка, дом 4/2, строение 1;3
Южный административный округ;Даниловский район;город Москва, улица Мастеркова, дом 3;3
Южный административный округ;Даниловский район;город Москва, улица Мастеркова, дом 4;2
Южный административный округ;Даниловский район;город Москва, улица Мастеркова, дом 6;1
Южный административный округ;Даниловский район;город Москва, улица Мастеркова, дом 8;1
Центральный административный округ;Басманный район;город Москва, улица Машкова, дом 22;2
Центральный административный округ;Басманный район;город Москва, улица Машкова, дом 3А;2
Центральный административный округ;Таганский район;город Москва, переулок Маяковского, дом 2;3
Центральный административный округ;Пресненский район;город Москва, Мерзляковский переулок, дом 10;2
Центральный административный округ;Пресненский район;город Москва, Мерзляковский переулок, дом 13;3
Центральный административный округ;Пресненский район;город Москва, Мерзляковский переулок, дом 14;1
Центральный административный округ;Пресненский район;город Москва, Мерзляковский переулок, дом 15;2
Центральный административный округ;Пресненский район;город Москва, Мерзляковский переулок, дом 5/1;2
Центральный административный округ;Мещанский район;город Москва, Мещанская улица, дом 1/17, строение 1;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 4, строение 1;2
Центральный административный округ;Красносельский район;город Москва, улица Малая Лубянка, дом 16;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 42;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 46;2
Центральный административный округ;Красносельский район;город Москва, Милютинский переулок, дом 19/4, строение 2;1
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 5, корпус 1;2
Центральный административный округ;Красносельский район;город Москва, Милютинский переулок, дом 20/2, строение 1;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 51, строение 1;4
Центральный административный округ;Красносельский район;город Москва, Милютинский переулок, дом 8, строение 1;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 61;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 68;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 14, строение 1;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 71, строение 1;1
Центральный административный округ;Тверской район;город Москва, проспект Мира, дом 26, строение 1;4
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 73;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 3, корпус 1;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 79;5
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 84;1
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 31;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 36, строение 1;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 92, строение 1;2
Центральный административный округ;Тверской район;город Москва, 1-я Миусская улица, дом 22/24, строение 2;1
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 38;1
Центральный административный округ;Тверской район;город Москва, Миусская площадь, дом 2;2
Центральный административный округ;Мещанский район;город Москва, проспект Мира, дом 39, строение 1;3
Центральный административный округ;Тверской район;город Москва, Миусская площадь, дом 6, строение 1;2
Центральный административный округ;Тверской район;город Москва, Миусская площадь, дом 6, строение 6;4
Центральный административный округ;район Арбат;город Москва, улица Большая Молчановка, дом 18;2
Центральный административный округ;район Хамовники;город Москва, Оболенский переулок, дом 9А;1
Северо-Восточный административный округ;район Марьина Роща;город Москва, улица Советской Армии, дом 5, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Соймоновский проезд, дом 7, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Солянка, дом 1/2, строение 2;2
Центральный административный округ;Басманный район;город Москва, улица Солянка, дом 1/2, строение 1;1
Центральный административный округ;Таганский район;город Москва, улица Солянка, дом 12, строение 1;3
Центральный административный округ;Таганский район;город Москва, улица Солянка, дом 16;2
Центральный административный округ;Таганский район;город Москва, улица Солянка, дом 9А, строение 2;2
Центральный административный округ;район Якиманка;город Москва, Софийская набережная, дом 14, строение 4;2
Центральный административный округ;район Якиманка;город Москва, Софийская набережная, дом 8, строение 1;3
Центральный административный округ;Басманный район;город Москва, Спартаковская улица, дом 26/30;2
Центральный административный округ;Басманный район;город Москва, Большой Спасоглинищевский переулок, дом 12, строение 5;2
Центральный административный округ;Басманный район;город Москва, Большой Спасоглинищевский переулок, дом 3, строение 1;2
Центральный административный округ;Басманный район;город Москва, Большой Спасоглинищевский переулок, дом 9/1, строение 16;3
Центральный административный округ;район Якиманка;город Москва, 1-й Спасоналивковский переулок, дом 17, корпус 1;1
Центральный административный округ;район Якиманка;город Москва, 1-й Спасоналивковский переулок, дом 6;2
Центральный административный округ;район Якиманка;город Москва, 2-й Спасоналивковский переулок, дом 16;1
Центральный административный округ;район Якиманка;город Москва, 2-й Спасоналивковский переулок, дом 9;2
Центральный административный округ;район Арбат;город Москва, Спасопесковский переулок, дом 3/1, строение 1;1
Центральный административный округ;Пресненский район;город Москва, улица Спиридоновка, дом 16, строение 1;2
Центральный административный округ;Пресненский район;город Москва, улица Спиридоновка, дом 27/24;2
Центральный административный округ;Пресненский район;город Москва, улица Спиридоновка, дом 36, строение 1;2
Центральный административный округ;Мещанский район;город Москва, улица Сретенка, дом 19;2
Центральный административный округ;Пресненский район;город Москва, Спиридоньевский переулок, дом 7;2
Центральный административный округ;Красносельский район;город Москва, улица Сретенка, дом 20;4
Центральный административный округ;Мещанский район;город Москва, улица Сретенка, дом 1;2
Центральный административный округ;Мещанский район;город Москва, улица Сретенка, дом 27, строение 1;2
Центральный административный округ;Красносельский район;город Москва, улица Сретенка, дом 36;2
Центральный административный округ;Красносельский район;город Москва, улица Сретенка, дом 4;2
Центральный административный округ;Мещанский район;город Москва, улица Сретенка, дом 9;4
Центральный административный округ;Красносельский район;город Москва, Сретенский бульвар, дом 11;3
Центральный административный округ;Красносельский район;город Москва, Сретенский бульвар, дом 6/1, строение 2;3
Центральный административный округ;Красносельский район;город Москва, Сретенский бульвар, дом 7;2
Центральный административный округ;Тверской район;город Москва, Старая площадь, дом 6, строение 1;1
Центральный административный округ;Басманный район;город Москва, Старокирочный переулок, дом 16/2, строение 1;3
Центральный административный округ;район Арбат;город Москва, Староконюшенный переулок, дом 33;1
Центральный административный округ;район Арбат;город Москва, Староконюшенный переулок, дом 37;2
Центральный административный округ;район Якиманка;город Москва, Старомонетный переулок, дом 33;2
Центральный административный округ;Тверской район;город Москва, Старопименовский переулок, дом 4, строение 1;2
Центральный административный округ;Басманный район;город Москва, Старосадский переулок, дом 3, строение 2;2
Центральный административный округ;Тверской район;город Москва, Столешников переулок, дом 9, строение 1;2
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 10, корпус 1;2
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 12, строение 1;1
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 15/29, строение 2;2
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 15/29, строение 56;2
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 4, строение 1;2
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 7, строение 1;3
Центральный административный округ;Тверской район;город Москва, Страстной бульвар, дом 8А;2
Центральный административный округ;район Замоскворечье;город Москва, Стремянный переулок, дом 35;2
Центральный административный округ;Мещанский район;город Москва, Суворовская площадь, дом 2, строение 3;2
Центральный административный округ;Басманный район;город Москва, Нижний Сусальный переулок, дом 4, строение 4;2
Центральный административный округ;Басманный район;город Москва, Нижний Сусальный переулок, дом 6, строение 4;2
Центральный административный округ;Красносельский район;город Москва, Большая Сухаревская площадь, дом 14/7;1
Центральный административный округ;Красносельский район;город Москва, Большая Сухаревская площадь, дом 16/18, строение 1;2
Центральный административный округ;Мещанский район;город Москва, Большая Сухаревская площадь, дом 3, строение 1;3
Центральный административный округ;Мещанский район;город Москва, Большая Сухаревская площадь, дом 3, строение 2;1
Центральный административный округ;Мещанский район;город Москва, Малая Сухаревская площадь, дом 1, строение 1;2
Центральный административный округ;Мещанский район;город Москва, Малая Сухаревская площадь, дом 2/4;2
Центральный административный округ;Мещанский район;город Москва, Большой Сухаревский переулок, дом 18;2
Центральный административный округ;Мещанский район;город Москва, Большой Сухаревский переулок, дом 23, строение 1;2
Центральный административный округ;Мещанский район;город Москва, Большой Сухаревский переулок, дом 6;2
Северо-Восточный административный округ;район Марьина Роща;город Москва, улица Сущёвский Вал, дом 55;2
Центральный административный округ;Пресненский район;город Москва, Большой Палашёвский переулок, дом 14/7, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Сытинский тупик, дом 1, строение 4;1
Центральный административный округ;Таганский район;город Москва, Таганская площадь, дом 12, строение 5;2
Центральный административный округ;Таганский район;город Москва, Таганская площадь, дом 88, строение 1;2
Центральный административный округ;Таганский район;город Москва, Таганская улица, дом 15, строение 2;2
Западный административный округ;район Дорогомилово;город Москва, набережная Тараса Шевченко, дом 3;3
Центральный административный округ;Таганский район;город Москва, Таганская улица, дом 2;2
Центральный административный округ;Таганский район;город Москва, Таганская улица, дом 25-27;4
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 20, строение 2;3
Центральный административный округ;Таганский район;город Москва, Таганская улица, дом 26, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 26;2
Центральный административный округ;Таганский район;город Москва, Таганская улица, дом 31/22;2
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 3;2
Центральный административный округ;Таганский район;город Москва, улица Талалихина, дом 2/1, корпус 1;2
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 30;2
Западный административный округ;район Дорогомилово;город Москва, набережная Тараса Шевченко, дом 1;3
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 36;3
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 44;2
Центральный административный округ;район Замоскворечье;город Москва, Большая Татарская улица, дом 9;3
Центральный административный округ;район Замоскворечье;город Москва, Татарская улица, дом 3, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Татарская улица, дом 5, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Татарская улица, дом 7, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Большой Татарский переулок, дом 4, строение 1;1
Центральный административный округ;район Замоскворечье;город Москва, Малый Татарский переулок, дом 5;2
Центральный административный округ;Тверской район;город Москва, площадь Тверская Застава, дом 7, строение 1;2
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 12, строение 1;2
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 15;4
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 16, строение 1;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 17;7
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 19;2
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 19А;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 23, строение 1;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 25/9;1
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 25/12;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 27, строение 2;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 29, корпус 2;2
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 4;4
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 5А;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 6, строение 1;4
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 6, строение 2;2
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 8, корпус 1;3
Центральный административный округ;Тверской район;город Москва, Тверская улица, дом 8, корпус 2;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1А;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 2, строение 1;3
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 2, строение 2;3
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 20/1;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 27;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 29, строение 1;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 36, строение 1;1
Центральный административный округ;Красносельский район;город Москва, 1-я Тверская-Ямская улица, дом 4;1
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 6;1
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 7;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 8;2
Центральный административный округ;Тверской район;город Москва, 1-я Тверская-Ямская улица, дом 9;2
Центральный административный округ;Тверской район;город Москва, 2-я Тверская-Ямская улица, дом 40;2
Центральный административный округ;Тверской район;город Москва, 4-я Тверская-Ямская улица, дом 26/8;2
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, владение 3, сооружение 1;2
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 10, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 11, строение 2;2
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 15, строение 2;2
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 2;1
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 20, строение 4;2
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 23, строение 3;3
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 25, строение 7;2
Центральный административный округ;Тверской район;город Москва, Тверской бульвар, дом 26;4
Центральный административный округ;Пресненский район;город Москва, Тверской бульвар, дом 3;2
Центральный административный округ;Тверской район;город Москва, Театральная площадь, дом 1;3
Центральный административный округ;Тверской район;город Москва, Театральная площадь, дом 2;3
Центральный административный округ;Тверской район;город Москва, Театральный проезд, дом 2, сооружение 1;2
Центральный административный округ;Мещанский район;город Москва, Театральный проезд, дом 3, строение 2;2
Центральный административный округ;Таганский район;город Москва, Тетеринский переулок, дом 12;2
Центральный административный округ;Таганский район;город Москва, Тетеринский переулок, дом 15, строение 13;2
